si,gu,dong,name,address
서울특별시,강남구,역삼동,정월,서울 강남구 강남대로102길 46 1층
서울특별시,강남구,역삼동,어글리스토브 신논현강남역점,서울 강남구 강남대로98길 20
서울특별시,강남구,역삼동,썸띵어바웃커피,"서울 강남구 강남대로102길 30 1, 2, 3층"
서울특별시,강남구,역삼동,트리오드,서울 강남구 강남대로94길 28 유니언타운 L층
서울특별시,강남구,역삼동,알베르,서울 강남구 강남대로102길 34
서울특별시,강남구,역삼동,프라텔리,"서울 강남구 봉은사로4길 31 지하1층, 지상1층"
서울특별시,강남구,역삼동,카페413프로젝트,서울 강남구 논현로97길 19-11
서울특별시,강남구,역삼동,헤이스테이,서울 강남구 봉은사로6길 39 1층(역삼동)
서울특별시,강남구,역삼동,타우너스 에스프레소 바 역삼점,서울 강남구 테헤란로28길 41 타우너스 1층
서울특별시,강남구,역삼동,문화시민 서울,서울 강남구 강남대로62길 35 2층
서울특별시,강남구,개포동,PEEK,서울 강남구 개포로17길 28 1층
서울특별시,강남구,개포동,Glyn.,서울 강남구 개포로21길 7 1층 1호
서울특별시,강남구,개포동,송커피 x 터무니책방,서울 강남구 논현로18길 14-6 1층
서울특별시,강남구,개포동,카페 라운지,서울 강남구 양재대로 333 1층 카페 라운지
서울특별시,강남구,개포동,블랑커피,서울 강남구 개포로22길 54 1층 블랑커피
서울특별시,강남구,개포동,연리담,서울 강남구 개포로25길 11 1층 연리담
서울특별시,강남구,개포동,우종호의커피볶는집 본점,서울 강남구 논현로12길 21
서울특별시,강남구,개포동,스타벅스 포이점,서울 강남구 논현로 88
서울특별시,강남구,개포동,억셉트커피 양재점,서울 강남구 논현로10길 20 1층 억셉트커피
서울특별시,강남구,개포동,몽플리쎄,서울 강남구 개포로 253 개포빌딩 1층
서울특별시,강남구,청담동,오아시스 청담점,서울 강남구 도산대로55길 20 영빌딩 1층
서울특별시,강남구,청담동,스탠다드시스템,서울 강남구 선릉로148길 48-5
서울특별시,강남구,청담동,폴바셋 강남구청역점,서울 강남구 학동로 401 금하빌딩 1층
서울특별시,강남구,청담동,버터앤쉘터 청담점,서울 강남구 학동로 513 1층 7호
서울특별시,강남구,청담동,폴바셋 청담점,서울 강남구 도산대로75길 22
서울특별시,강남구,청담동,미뮤즈 청담,서울 강남구 도산대로92길 44 1층 미뮤즈카페
서울특별시,강남구,청담동,스타벅스 압구정로데오역점,서울 강남구 선릉로 836
서울특별시,강남구,청담동,스타벅스 청담스타R점,서울 강남구 도산대로57길 24
서울특별시,강남구,청담동,커피루소 청담,서울 강남구 선릉로158길 16
서울특별시,강남구,청담동,리사르커피 청담점,서울 강남구 도산대로99길 60
서울특별시,강남구,삼성동,더죠이 코엑스몰점,서울 강남구 영동대로 513 M110
서울특별시,강남구,삼성동,글루글루,서울 강남구 테헤란로79길 33 지하1층 101호
서울특별시,강남구,삼성동,젠제로,서울 강남구 선릉로126길 14 예우빌딩 1층
서울특별시,강남구,삼성동,샤이바나 코엑스점,서울 강남구 영동대로 513 코엑스몰 B1 108호
서울특별시,강남구,삼성동,카페희다 삼성점,서울 강남구 삼성로96길 19 1층
서울특별시,강남구,삼성동,티하우스 청담,서울 강남구 삼성로120길 52-1 1층
서울특별시,강남구,삼성동,클로리스 코엑스몰점,서울 강남구 봉은사로 524 코엑스몰 B1 I109
서울특별시,강남구,삼성동,% ARABICA 스타필드 코엑스몰점,서울 강남구 영동대로 513 스타필드 코엑스몰 별마당도서관 1층
서울특별시,강남구,삼성동,앙꼬,서울 강남구 학동로56길 32 앙꼬
서울특별시,강남구,삼성동,노티드 삼성,서울 강남구 테헤란로103길 9 1층
서울특별시,강남구,대치동,테라로사 포스코센터점,서울 강남구 테헤란로 440 1층
서울특별시,강남구,대치동,펠어커피 강남포스코사거리점,서울 강남구 삼성로85길 11 롯데캐슬아파트상가 1층
서울특별시,강남구,대치동,르브런쉭 대치점,서울 강남구 삼성로 350 서울빌딩
서울특별시,강남구,대치동,파이하우스,서울 강남구 선릉로62길 29 1층
서울특별시,강남구,대치동,나따오비까 대치점,서울 강남구 선릉로64길 26
서울특별시,강남구,대치동,껠끄쇼즈,서울 강남구 도곡로70길 5
서울특별시,강남구,대치동,던킨 선릉역점,서울 강남구 테헤란로 422 KT타워 1층
서울특별시,강남구,대치동,요그앤오트,서울 강남구 테헤란로82길 14 1층
서울특별시,강남구,대치동,커피브루어,서울 강남구 남부순환로391길 15
서울특별시,강남구,대치동,노크노크,서울 강남구 도곡로 521
서울특별시,강남구,신사동,꽁티드툴레아,서울 강남구 도산대로49길 39
서울특별시,강남구,신사동,바빌리안테이블,서울 강남구 압구정로46길 5-2
서울특별시,강남구,신사동,미뉴트 빠삐용,서울 강남구 도산대로51길 37 지하1층
서울특별시,강남구,신사동,노티드 청담,서울 강남구 도산대로53길 15 1층
서울특별시,강남구,신사동,프롬헤라스 압구정점,서울 강남구 언주로168길 29 1층
서울특별시,강남구,신사동,파치노 에스프레소 바,서울 강남구 강남대로162길 37 1층(신사동)
서울특별시,강남구,신사동,런던 베이글 뮤지엄 도산점,"서울 강남구 언주로168길 33 1, 2층"
서울특별시,강남구,신사동,듀자미,서울 강남구 도산대로11길 28
서울특별시,강남구,신사동,이웃집통통이 로데오점,서울 강남구 선릉로161길 19 1층
서울특별시,강남구,신사동,에뚜왈,서울 강남구 압구정로10길 35 지하1층
서울특별시,강남구,논현동,이디야커피랩,서울 강남구 논현로 636 이디야빌딩
서울특별시,강남구,논현동,구테로이테,서울 강남구 선릉로131길 16 1층 구테로이테
서울특별시,강남구,논현동,수목금토 카페,서울 강남구 강남대로136길 63 수목금토 1층
서울특별시,강남구,논현동,쁠로13,서울 강남구 도산대로8길 13 1층
서울특별시,강남구,논현동,레자미오네뜨,서울 강남구 학동로5길 5 1층
서울특별시,강남구,논현동,웰컴투유토피아,서울 강남구 선릉로141길 4
서울특별시,강남구,논현동,천장지구,서울 강남구 언주로150길 51 2층
서울특별시,강남구,논현동,인터랙트 with 글루텐프리,서울 강남구 강남대로118길 16 1층
서울특별시,강남구,논현동,커피휘엘,서울 강남구 논현로149길 62
서울특별시,강남구,논현동,마르케,서울 강남구 강남대로124길 5 1층 마르케
서울특별시,강남구,압구정동,꽁티드툴레아,서울 강남구 도산대로49길 39
서울특별시,강남구,압구정동,노티드 청담,서울 강남구 도산대로53길 15 1층
서울특별시,강남구,압구정동,프롬헤라스 압구정점,서울 강남구 언주로168길 29 1층
서울특별시,강남구,압구정동,파치노 에스프레소 바,서울 강남구 강남대로162길 37 1층(신사동)
서울특별시,강남구,압구정동,듀자미,서울 강남구 도산대로11길 28
서울특별시,강남구,압구정동,이웃집통통이 로데오점,서울 강남구 선릉로161길 19 1층
서울특별시,강남구,압구정동,마일스톤 커피,서울 강남구 논현로159길 49
